"CandidateId","CandidateName","TOTAL_VOTES","Party","WriteInVote","LocalityCode","LocalityName","PrecinctId","PrecinctName","DistrictId","DistrictType","DistrictName","OfficeId","OfficeTitle","ElectionId","ElectionType","ElectionDate","ElectionName","NumberOfSeats"
"cs4","Chris Christie","1","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","330","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","77","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","6","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","1","Republican","0","001","ACCOMACK COUNTY","0101","101 - CHINCOTEAGUE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","0","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","132","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","26","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","1","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","1","Republican","0","001","ACCOMACK COUNTY","0201","201 - ATLANTIC","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","1","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","265","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","70","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","2","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","0","Republican","0","001","ACCOMACK COUNTY","0202","202 - GREENBACKVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","0","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","147","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","21","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","2","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","0","Republican","0","001","ACCOMACK COUNTY","0301","301 - NEW CHURCH","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","0","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","109","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","16","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","0","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","1","Republican","0","001","ACCOMACK COUNTY","0401","401 - BLOXOM","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","1","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","119","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","22","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","2","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","2","Republican","0","001","ACCOMACK COUNTY","0402","402 - PARKSLEY","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","0","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","56","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","9","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs8","Ron D. DeSantis","0","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs5","Ryan L. Binkley","0","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs6","Vivek Ramaswamy","0","Republican","0","001","ACCOMACK COUNTY","0403","403 - SAXIS","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs4","Chris Christie","0","Republican","0","001","ACCOMACK COUNTY","0501","501 - MAPPSVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs7","Donald J. Trump","51","Republican","0","001","ACCOMACK COUNTY","0501","501 - MAPPSVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
"cs9","Nikki R. Haley","18","Republican","0","001","ACCOMACK COUNTY","0501","501 - MAPPSVILLE","ed1","state","United States Of America","cc2","President","","Primary","2024-03-05","2024 March Republican Primary","1"
